area,year,date.1,date.2,date.3,date.4,date.5,date.6
Nuclear Safety,2019,2019-04-05,,,,,
Regional Security,1993,1993-04-14,,,,,
Regional Security,1995,1995-10-15,,,,,
Regional Security,1996,1996-09-15,,,,,
Regional Security,1997,1997-09-15,,,,,
Regional Security,1998,1998-05-08,1998-06-12,1998-09-24,,,
Regional Security,1999,1999-05-06,1999-06-07,1999-12-16,,,
Regional Security,2000,2000-07-12,,,,,
Regional Security,2001,2001-07-18,,,,,
Regional Security,2002,2002-06-12,2002-09-12,,,,
Regional Security,2003,2003-02-22,2003-05-22,,,,
Regional Security,2004,2004-05-14,2004-09-24,,,,
Regional Security,2005,2005-06-23,2005-09-15,,,,
Regional Security,2006,2006-06-29,,,,,
Regional Security,2007,2007-05-30,2007-09-26,,,,
Regional Security,2008,2008-06-26,,,,,
Regional Security,2009,2009-06-25,2009-09-23,,,,
Regional Security,2010,2010-03-29,,,,,
Regional Security,2011,2011-03-14,,,,,
Regional Security,2012,2012-04-11,,,,,
Regional Security,2013,2013-04-10,,,,,
Regional Security,2014,2014-09-25,,,,,
Regional Security,2015,2015-04-14,2015-09-29,,,,
Regional Security,2016,2016-04-10,,,,,
Regional Security,2017,2017-04-10,,,,,
Regional Security,2018,2018-04-22,,,,,
Regional Security,2019,2019-04-05,,,,,
Regional Security,2020,2020-03-25,,,,,
Terrorism,1995,1995-12-12,,,,,
Terrorism,1996,1996-07-30,,,,,
Trade,1993,1993-05-14,1993-06-02,1993-06-23,,,
Trade,1995,1995-05-03,1995-10-20,,,,
Trade,1996,1996-04-19,1996-09-27,,,,
Trade,1997,1997-04-30,,,,,
Trade,1999,1999-05-11,,,,,
